批量回测 v2 结果
运行时间: 2026-06-20 17:55:59
股票数: 200 | 策略数: 3 | 总回测: 600
区间: 2024-01-01 ~ 2026-06-01

      代码           策略       收益     夏普     胜率       回撤   交易       基准       超额
  688512       七维评分穿越   +6.42% +0.24  42.9%  -18.94%   14  -28.09%  +34.51%
  002723         趋势跟踪   +6.41% +0.28  28.6%  -13.52%    7  -14.72%  +21.13%
  301116       七维评分穿越   +6.41% +0.24  42.1%  -17.14%   19  -22.19%  +28.60%
  603058       七维评分穿越   +6.41% +0.28  42.9%  -11.58%    7   +8.28%   -1.87%
  600507         均线金叉   +6.16% +0.35  25.0%   -8.08%    4   +4.52%   +1.64%
  002050         均线金叉   +6.07% +0.28  37.5%  -15.63%    8  +56.73%  -50.66%
  600575         均线金叉   +6.04% +0.27  28.6%  -26.91%    7  +69.77%  -63.73%
  000807         趋势跟踪   +5.98% +0.24  37.5%  -27.00%    8 +134.22% -128.24%
  002676       七维评分穿越   +5.96% +0.23  40.9%  -28.88%   22  +15.47%   -9.51%
  301388       七维评分穿越   +5.85% +0.23  47.1%  -22.24%   17  +18.64%  -12.79%
  603838         均线金叉   +5.76% +0.29  22.2%  -14.58%    9  +26.60%  -20.84%
  002246       七维评分穿越   +5.60% +0.29  50.0%  -12.50%   10 +147.08% -141.48%
  603383       七维评分穿越   +5.50% +0.22  41.2%  -34.11%   17  -33.72%  +39.22%
  300665       七维评分穿越   +5.48% +0.40  75.0%  -10.31%    4  +10.62%   -5.14%
  300278       七维评分穿越   +5.22% +0.21  50.0%  -22.33%   16  +18.79%  -13.57%
  600256         均线金叉   +5.14% +0.25  33.3%  -11.94%    6   -9.71%  +14.85%
